aardwolves	aardwolf
monts-de-piete	mont-de-piete
moodier	moody
moodiest	moody
mooncalves	mooncalf
moonfishes	moonfish
moonier	moony
mooniest	moony
mopped	mop
mopping	mop
morae	mora
moratoria	moratorium
morceaux	morceau
morescoes	moresco
moriscoes	morisco
morphallaxes	morphallaxis
morphoses	morphosis
morses	morse
mortified	mortify
morulae	morula
mosasauri	mosasaurus
moshavim	moshav
moslim	moslem
moslims	moslem
mosquitoes	mosquito
mothers superior	mother superior
mothers-in-law	mother-in-law
mothier	mothy
mothiest	mothy
mottoes	motto
mouldier	mouldy
mouldiest	mouldy
mousier	mousy
mousiest	mousy
mouthier	mouthy
mouthiest	mouthy
movers and shakers	mover and shaker
mown	mow
muckier	mucky
muckiest	mucky
mucosae	mucosa
mucrones	mucro
mudded	mud
muddied	muddy
muddier	muddy
muddiest	muddy
mudding	mud
mudejares	mudejar
mudfishes	mudfish
mugged	mug
muggier	muggy
muggiest	muggy
mugging	mug
mulattoes	mulatto
multiparae	multipara
multiplexer	multiplexer
multiplied	multiply
mummed	mum
mummified	mummify
mumming	mum
murices	murex
murkier	murky
murkiest	murky
mushier	mushy
mushiest	mushy
muskallunge	muskellunge
muskier	musky
muskiest	musky
muster	muster
mustier	musty
mustiest	musty
mutinied	mutiny
muzzier	muzzy
muzziest	muzzy
mycelia	mycelium
mycetomata	mycetoma
mycobacteria	mycobacterium
mycorrhizae	mycorrhiza
myelencephala	myelencephalon
myiases	myiasis
myocardia	myocardium
myofibrillae	myofibrilla
myomata	myoma
myoses	myosis
myrmidones	myrmidon
mystified	mystify
mythoi	mythos
myxomata	myxoma
nabbed	nab
nabbing	nab
naevi	naevus
nagged	nag
nagging	nag
naiades	naiad
naoi	naos
napped	nap
nappier	nappy
nappiest	nappy
napping	nap
narcissi	narcissus
nares	naris
nasopharynges	nasopharynx
nastier	nasty
nastiest	nasty
natatoria	natatorium
nattier	natty
nattiest	natty
naughtier	naughty
naughtiest	naughty
naumachiae	naumachia
nauplii	nauplius
nautili	nautilus
navahoes	navaho
navajoes	navajo
nebulae	nebula
necropoleis	necropolis
needier	needy
neediest	needy
needlefishes	needlefish
negrilloes	negrillo
negritoes	negrito
negroes	negro
nemeses	nemesis
nephridia	nephridium
nereides	nereid
nervier	nervy
nerviest	nervy
netted	net
netting	net
neurohypophyses	neurohypophysis
neuromata	neuroma
neuroptera	neuropteron
neuroses	neurosis
nevi	nevus
newsier	newsy
newsiest	newsy
nibbed	nib
nibbing	nib
nibelungen	nibelung
nickelled	nickel
nickelling	nickel
nid-nodded	nid-nod
nid-nodding	nid-nod
nidi	nidus
nidified	nidify
nielli	niello
niftier	nifty
niftiest	nifty
nigrified	nigrify
nilgai	nilgai
nimbi	nimbus
nimbostrati	nimbostratus
nipped	nip
nippier	nippy
nippiest	nippy
nipping	nip
nitrified	nitrify
nittier	nitty
nittiest	nitty
noctilucae	noctiluca
nodded	nod
nodding	nod
nodi	nodus
noes	no
noisier	noisy
noisiest	noisy
nomina	nomen
non-prossed	non-pros
non-prosses	non-pros
non-prossing	non-pros
nonplussed	nonplus
nonplusses	nonplus
nonplussing	nonplus
northeasterner	northeasterner
norther	norther
northerner	northerner
nosier	nosy
nosiest	nosy
nota	notum
notified	notify
noumena	noumenon
novae	nova
novelle	novella
novenae	novena
nubeculae	nubecula
nucelli	nucellus
nuchae	nucha
nuclei	nucleus
nucleoli	nucleolus
nullified	nullify
nulliparae	nullipara
number	number
numbfishes	numbfish
numina	numen
nutted	nut
nuttier	nutty
nuttiest	nutty
nutting	nut
nymphae	nympha
oarfishes	oarfish
oases	oasis
obeli	obelus
objectified	objectify
objets d'art	objet d'art
obligati	obligato
oboli	obolus
occipita	occiput
occupied	occupy
occurred	occur
occurring	occur
oceanaria	oceanarium
oceanides	oceanid
ocelli	ocellus
ochreae	ochrea
ocreae	ochrea
octahedra	octahedron
octopi	octopus
oculi	oculus
odea	odeum
oedemata	edema
oesophagi	esophagus
offer	off
offsetting	offset
oilier	oily
oiliest	oily
old-timer	old-timer
oldwives	oldwife
olea	oleum
oliver	oliver
omasa	omasum
omayyades	omayyad
omenta	omentum
omitted	omit
omitting	omit
ommatidia	ommatidium
ommiades	ommiad
onagri	onager
oogonia	oogonium
oothecae	ootheca
oozier	oozy
ooziest	oozy
opener	opener
operas seria	opera seria
opercula	operculum
optic axes	optic axis
optima	optimum
ora	os
organa	organon
organums	organa
orthoptera	orthopteron
osar	os
oscula	osculum
ossa	os
ossified	ossify
osteomata	osteoma
ostia	ostium
ottomans	othman
outbidden	outbid
outbidding	outbid
outbred	outbreed
outcried	outcry
outcropped	outcrop
outcropping	outcrop
outdid	outdo
outdone	outdo
outdrawn	outdraw
outdrew	outdraw
outfitted	outfit
outfitting	outfit
outfought	outfight
outgassed	outgas
outgasses	outgas
outgassing	outgas
outgeneralled	outgeneral
outgeneralling	outgeneral
outgone	outgo
outgrew	outgrow
outgrown	outgrow
outlaid	outlay
outmanned	outman
outmanning	outman
outputted	output
outputting	output
outran	outrun
outridden	outride
outrode	outride
outrunning	outrun
outshone	outshine
outshot	outshoot
outsider	outsider
outsold	outsell
outspanned	outspan
outspanning	outspan
outstood	outstand
outstripped	outstrip
outstripping	outstrip
outthought	outthink
outwent	outgo
outwitted	outwit
outwitting	outwit
outwore	outwear
outworn	outwear
ova	ovum
overbidden	overbid
overbidding	overbid
overblew	overblow
overblown	overblow
overbore	overbear
overborne	overbear
overbuilt	overbuild
overcame	overcome
overcomer	overcomer
overcropped	overcrop
overcropping	overcrop
overdid	overdo
overdone	overdo
overdrawn	overdraw
overdrew	overdraw
overdriven	overdrive
overdrove	overdrive
overflew	overfly
overflown	overflow
overgrew	overgrow
overgrown	overgrow
overheard	overhear
overhung	overhang
overlaid	overlay
overlain	overlie
overlapped	overlap
overlapping	overlap
overlay	overlie
overlying	overlie
overmanned	overman
overmanning	overman
overnighter	overnighter
overpaid	overpay
overpast	overpass
overran	overrun
overridden	override
overrode	override
overrunning	overrun
oversaw	oversee
overseen	oversee
oversetting	overset
oversewn	oversew
overshot	overshoot
oversimplified	oversimplify
overslept	oversleep
oversold	oversell
overspent	overspend
overspilt	overspill
overstepped	overstep
overstepping	overstep
overtaken	overtake
overthrew	overthrow
overthrown	overthrow
overtook	overtake
overtopped	overtop
overtopping	overtop
overwound	overwind
overwritten	overwrite
overwrote	overwrite
ovoli	ovolo
ovotestes	ovotestis
owner	owner
oxen	ox
oxymora	oxymoron
pacified	pacify
padded	pad
padding	pad
paddlefishes	paddlefish
paid	pay
paise	paisa
paleae	palea
palestrae	palestra
palingeneses	palingenesis
palled	pal
pallia	pallium
pallier	pally
palliest	pally
palling	pal
palmettoes	palmetto
palmier	palmy
palmiest	palmy
palpi	palpus
palsied	palsy
paltrier	paltry
paltriest	paltry
pancratia	pancratium
pandied	pandy
panelled	panel
panelling	panel
panettoni	panettone
panicked	panic
panicking	panic
panned	pan
panning	pan
paparazzi	paparazzo
paperknives	paperknife
papillae	papilla
papillomata	papilloma
pappi	pappus
pappier	pappy
pappiest	pappy
papulae	papula
papyri	papyrus
parabases	parabasis
paraleipses	paraleipsis
parallelled	parallel
parallelling	parallel
paralyses	paralysis
paramecia	paramecium
paramenta	parament
paraphyses	paraphysis
parapodia	parapodium
parapraxes	parapraxis
paraselenae	paraselene
parashoth	parashah
parasyntheta	parasyntheton
parazoa	parazoan
parcelled	parcel
parcelling	parcel
parentheses	parenthesis
parerga	parergon
parhelia	parhelion
parietes	paries
paris-mutuels	pari-mutuel
parkier	parky
parkiest	parky
parodied	parody
parried	parry
parrotfishes	parrotfish
part-timer	part-timer
partaken	partake
partook	partake
parulides	parulis
pasos dobles	paso doble
pasquil	pasquinade
pasquilled	pasquinade
pasquilling	pasquinade
pasquils	pasquinade
passer	passer
passers-by	passer-by
paster	paster
pastier	pasty
pastiest	pasty
pastorali	pastorale
patagia	patagium
patchier	patchy
patchiest	patchy
patellae	patella
pater	pater
patinae	patina
patresfamilias	paterfamilias
patrolled	patrol
patrolling	patrol
patted	pat
patting	pat
pawkier	pawky
pawkiest	pawky
peachier	peachy
peachiest	peachy
pearler	pearler
pearlier	pearly
pearliest	pearly
pease	pea
peccadilloes	peccadillo
pectines	pecten
pedaler	pedaler
pedalled	pedal
pedalling	pedal
pedaloes	pedalo
pedes	pes
pegged	peg
pegging	peg
pekingese	pekinese
pelves	pelvis
pence	penny
pencilled	pencil
pencilling	pencil
penes	penis
penetralia	penetralium
penicillia	penicillium
penknives	penknife
pennae	penna
penned	pen
pennia	penni
penning	pen
pent	pen
pentahedra	pentahedron
pentimenti	pentimento
penumbrae	penumbra
pepla	peplum
pepped	pep
peppier	peppy
peppiest	peppy
pepping	pep
pericardia	pericardium
perichondria	perichondrium
pericrania	pericranium
peridia	peridium
perigonia	perigonium
perihelia	perihelion
perinea	perineum
perinephria	perinephrium
perionychia	perionychium
periostea	periosteum
periphrases	periphrasis
peristalses	peristalsis
perithecia	perithecium
peritonea	peritoneum
perkier	perky
perkiest	perky
permitted	permit
permitting	permit
personae	persona
personified	personify
peskier	pesky
peskiest	pesky
petechiae	petechia
peter	peter
petrified	petrify
petted	pet
pettier	petty
pettiest	petty
pettifogged	pettifog
pettifogging	pettifog
petting	pet
pfennige	pfennig
phalanges	phalange
phalli	phallus
phantasied	phantasy
pharynges	pharynx
phenomena	phenomenon
phi-phenomena	phi-phenomenon
philodendra	philodendron
phlyctenae	phlyctaena
phonier	phony
phoniest	phony
photocopied	photocopy
photomapped	photomap
photomapping	photomap
photosetting	photoset
phyla	phylum
phylae	phyle
phyllotaxes	phyllotaxis
phylloxerae	phylloxera
phylogeneses	phylogenesis
physicked	physic
physicking	physic
pickier	picky
pickiest	picky
picnicked	picnic
picnicking	picnic
pieds-a-terre	pied-a-terre
pigfishes	pigfish
pigged	pig
piggier	piggy
piggiest	piggy
pigging	pig
pilea	pileum
pilei	pileus
pilloried	pillory
pinch-hitting	pinch-hit
pineta	pinetum
pinfishes	pinfish
pinier	piny
piniest	piny
pinkoes	pinko
pinnae	pinna
pinned	pin
pinning	pin
pinnulae	pinnula
pipefishes	pipefish
pipped	pip
pipping	pip
pirogi	pirog
piscinae	piscina
pistol-whipped	pistol-whip
pistol-whipping	pistol-whip
pistolled	pistol
pistolling	pistol
pitapatted	pitapat
pitapatting	pitapat
pitchier	pitchy
pitchiest	pitchy
pithecanthropi	pithecanthropus
pithier	pithy
pithiest	pithy
pithoi	pithos
pitied	pity
pitted	pit
pitting	pit
placeboes	placebo
placentae	placenta
planer	planer
planetaria	planetarium
planned	plan
planning	plan
planulae	planula
plashier	plashy
plashiest	plashy
plasmodesmata	plasmodesma
plasmodia	plasmodium
plateaux	plateau
platier	platy
platiest	platy
platted	plat
platting	plat
played a part	play a part
player	player
playing a part	play a part
plays a part	play a part
plectra	plectron
pled	plead
plena	plenum
pleura	pleuron
pleurae	pleura
plicae	plica
plied	ply
plodded	plod
plodding	plod
plopped	plop
plopping	plop
plotted	plot
plotting	plot
ploughmen	ploughman
pluckier	plucky
pluckiest	plucky
plugged	plug
plugging	plug
plumber	plumber
plumier	plumy
plumiest	plumy
plummier	plummy
plummiest	plummy
pneumobacilli	pneumobacillus
pneumococci	pneumococcus
pocketknives	pocketknife
podded	pod
podding	pod
podetia	podetium
podgier	podgy
podgiest	podgy
podia	podium
pokier	poky
pokiest	poky
poleis	polis
polisher	polisher
pollices	pollex
pollinia	pollinium
polychasia	polychasium
polyhedra	polyhedron
polyparia	polyparium
polypi	polypus
polyzoa	polyzoan
polyzoaria	polyzoarium
pommelled	pommel
pommelling	pommel
pontes	pons
pontifices	pontifex
popes	popes
popped	pop
popping	pop
porkier	porky
porkiest	porky
portamenti	portamento
porter	porter
porticoes	portico
portlier	portly
portliest	portly
portmanteaux	portmanteau
poster	poster
postliminia	postliminium
potatoes	potato
potted	pot
pottier	potty
pottiest	potty
potting	pot
praenomina	praenomen
praxes	praxis
preachier	preachy
preachiest	preachy
preachified	preachify
precancelled	precancel
precancelling	precancel
predelle	predella
preferred	prefer
preferring	prefer
premaxillae	premaxilla
prenomina	prenomen
preoccupied	preoccupy
prepaid	prepay
prese	presa
presenter	presenter
presignified	presignify
pretender	pretender
pretermitted	pretermit
pretermitting	pretermit
prettied	pretty
prettier	pretty
prettiest	pretty
prettified	prettify
pricier	pricy
priciest	pricy
pricklier	prickly
prickliest	prickly
pried	pry
priestlier	priestly
priestliest	priestly
prigged	prig
prigging	prig
primer	primer
primi	primo
primigravidae	primigravida
primiparae	primipara
primmed	prim
primmer	prim
primmest	prim
primming	prim
primordia	primordium
princelier	princely
princeliest	princely
principia	principium
printer	printer
prissier	prissy
prissiest	prissy
privateer	privateer
privier	privy
priviest	privy
proboscides	proboscis
proces-verbaux	proces-verbal
prodded	prod
prodding	prod
proglottides	proglottid
prognoses	prognosis
programmed	program
programmes	program
programming	program
prolegomena	prolegomenon
prolepses	prolepsis
prologed	prologue
prologing	prologue
prologs	prologue
prompter	prompter
promycelia	promycelium
pronephra	pronephros
pronephroi	pronephros
pronuclei	pronucleus
propelled	propel
propelling	propel
prophesied	prophesy
propositi	propositus
propped	prop
propping	prop
proptoses	proptosis
propyla	propylon
propylaea	propylaeum
proscenia	proscenium
prosencephala	prosencephalon
prosier	prosy
prosiest	prosy
prostheses	prosthesis
prostomia	prostomium
protases	protasis
prothalamia	prothalamion
prothalli	prothallus
prothallia	prothallium
prothoraces	prothorax
protonemata	protonema
protozoa	protozoan
proven	prove
proventriculi	proventriculus
provisoes	proviso
prytanea	prytaneum
psalteria	psalterium
pseudopodia	pseudopodium
psychoneuroses	psychoneurosis
psychoses	psychosis
pterygia	pterygium
pterylae	pteryla
ptoses	ptosis
pubbed	pub
pubbing	pub
pubes	pubis
pudenda	pudendum
pudgier	pudgy
pudgiest	pudgy
puffer	puffer
puffier	puffy
puffiest	puffy
pugged	pug
pugging	pug
puli	pul
pulpier	pulpy
pulpiest	pulpy
pulvilli	pulvillus
pulvini	pulvinus
pummelled	pummel
pummelling	pummel
punchier	punchy
punchiest	punchy
punchinelloes	punchinello
punier	puny
puniest	puny
punned	pun
punning	pun
pupae	pupa
puparia	puparium
pupped	pup
pupping	pup
purified	purify
pushier	pushy
pushiest	pushy
pussier	pussy
pussiest	pussy
put-putted	put-put
put-putting	put-put
putamina	putamen
putrefied	putrefy
putti	putto
puttied	putty
putting	put
pycnidia	pycnidium
pygidia	pygidium
pylori	pylorus
pyxides	pyxis
pyxidia	pyxidium
qaddishim	qaddish
quadrennia	quadrennium
quadrigae	quadriga
quaggier	quaggy
quaggiest	quaggy
quakier	quaky
quakiest	quaky
qualia	quale
qualified	qualify
quanta	quantum
quantified	quantify
quarrelled	quarrel
quarrelling	quarrel
quarried	quarry
quartersawn	quartersaw
quarterstaves	quarterstaff
queasier	queasy
queasiest	queasy
queenlier	queenly
queenliest	queenly
queried	query
quezales	quezal
quick-froze	quick-freeze
quick-frozen	quick-freeze
quickstepped	quickstep
quickstepping	quickstep
quinquennia	quinquennium
quipped	quip
quipping	quip
quitted	quit
quitting	quit
quizzed	quiz
quizzes	quiz
quizzing	quiz
rabatos	rabato
rabbitfishes	rabbitfish
rachides	rhachis
racier	racy
raciest	racy
radices	radix
radii	radius
radulae	radula
ragged	rag
ragging	rag
rainier	rainy
rainiest	rainy
rallied	rally
ramenta	ramentum
rami	ramus
ramified	ramify
rammed	ram
ramming	ram
ran	run
randier	randy
randiest	randy
rang	ring
rangier	rangy
rangiest	rangy
ranker	ranker
ranulae	ranula
ranunculi	ranunculus
raphae	raphe
raphides	raphide
rapped	rap
rappelled	rappel
rappelling	rappel
rapping	rap
rarefied	rarefy
ratfishes	ratfish
ratified	ratify
ratted	rat
rattier	ratty
rattiest	ratty
ratting	rat
rattlier	rattly
rattliest	rattly
raunchier	raunchy
raunchiest	raunchy
ravelled	ravel
ravelling	ravel
razor-cutting	razor-cut
re-trod	re-tread
re-trodden	re-tread
readier	ready
readiest	ready
reales	real
rearmice	rearmouse
rebelled	rebel
rebelling	rebel
rebuilt	rebuild
rebutted	rebut
rebutting	rebut
recapped	recap
recapping	recap
reclassified	reclassify
recommitted	recommit
recommitting	recommit
recopied	recopy
recorder	recorder
recta	rectum
recti	rectus
rectified	rectify
rectrices	rectrix
recurred	recur
recurring	recur
red	red
red-pencilled	red-pencil
red-pencilling	red-pencil
redded	red
redder	red
reddest	red
redding	red
redfishes	redfish
rediae	redia
redid	redo
redone	redo
reedier	reedy
reediest	reedy
referenda	referendum
referred	refer
referring	refer
refitted	refit
refitting	refit
reft	reave
refuelled	refuel
refuelling	refuel
refugia	refugium
regretted	regret
regretting	regret
reguli	regulus
reheard	rehear
reified	reify
reis	real
relata	relatum
relied	rely
remade	remake
remarried	remarry
remiges	remex
remitted	remit
remitting	remit
rent	rend
renter	renter
repaid	repay
repelled	repel
repelling	repel
replevied	replevy
replied	reply
repotted	repot
repotting	repot
reran	rerun
reremice	rearmouse
rerunning	rerun
resat	resit
reseaux	reseau
resetting	reset
resewn	resew
residua	residuum
resitting	resit
responsa	responsum
retailer	retailer
retaken	retake
rethought	rethink
retia	rete
retiarii	retiarius
reticula	reticulum
retinacula	retinaculum
retinae	retina
retold	retell
retook	retake
retransmitted	retransmit
retransmitting	retransmit
retried	retry
retrofitted	retrofit
retrofitting	retrofit
retted	ret
retting	ret
reunified	reunify
revelled	revel
revelling	revel
revetted	revet
revetting	revet
revivified	revivify
revved	rev
revving	rev
rewound	rewind
rewritten	rewrite
rewrote	rewrite
rhabdomyomata	rhabdomyoma
rhachides	rhachis
rhachises	rachis
rhinencephala	rhinencephalon
rhizobia	rhizobium
rhombi	rhombus
rhonchi	rhonchus
rhyta	rhyton
ribbed	rib
ribbing	rib
ribbonfishes	ribbonfish
ricercacari	ricercare
ricercari	ricercare
rickettsiae	rickettsia
ricochetted	ricochet
ricochetting	ricochet
ridded	rid
ridden	ride
ridding	rid
rigged	rig
rigging	rig
right-hander	right-hander
right-winger	right-winger
rigidified	rigidify
rilievi	rilievo
rimae	rima
rimier	rimy
rimiest	rimy
rimmed	rim
rimming	rim
ripped	rip
ripping	rip
risen	rise
riskier	risky
riskiest	risky
ritzier	ritzy
ritziest	ritzy
rivalled	rival
rivalling	rival
riven	rive
roaster	roaster
robbed	rob
robbing	rob
robes-de-chambre	robe-de-chambre
rockfishes	rockfish
rockier	rocky
rockiest	rocky
rode	ride
roilier	roily
roiliest	roily
roma	rom
romans-fleuves	roman-fleuve
rondeaux	rondeau
rookier	rooky
rookiest	rooky
roomier	roomy
roomiest	roomy
ropier	ropy
ropiest	ropy
rosaria	rosarium
rose	rise
rosefishes	rosefish
rosier	rosy
rosiest	rosy
rostella	rostellum
rostra	rostrum
rotted	rot
rotting	rot
rough-dried	rough-dry
rough-hewn	rough-hew
rouleaux	rouleau
rove	reeve
rowdier	rowdy
rowdiest	rowdy
rowelled	rowel
rowelling	rowel
rubbed	rub
rubbing	rub
ruddier	ruddy
ruddiest	ruddy
rugae	ruga
rumina	rumen
rung	ring
runners-up	runner-up
runnier	runny
runniest	runny
running	run
rusher	rusher
rushier	rushy
rushiest	rushy
rustier	rusty
rustiest	rusty
rutted	rut
ruttier	rutty
ruttiest	rutty
rutting	rut
saccharified	saccharify
sacra	sacrum
sacraria	sacrarium
sadder	sad
saddest	sad
sagged	sag
sagging	sag
saguaros	saguaro
said	say
sailfishes	sailfish
salaried	salary
salespeople	salesperson
salified	salify
sallied	sally
salmonellae	salmonella
salpae	salpa
salpinges	salpinx
saltarelli	saltarello
salter	salter
saltier	salty
saltiest	salty
salvoes	salvo
sampler	sampler
sancta	sanctum
sanctified	sanctify
sandbagged	sandbag
sandbagging	sandbag
sandier	sandy
sandiest	sandy
sang	sing
sanitaria	sanitarium
sank	sink
santimi	santims
saphenae	saphena
saponified	saponify
sapped	sap
sappier	sappy
sappiest	sappy
sapping	sap
sarcophagi	sarcophagus
sartorii	sartorius
sassanidae	sassanid
sassier	sassy
sassiest	sassy
sat	sit
satisfied	satisfy
saucier	saucy
sauciest	saucy
savvied	savvy
savvier	savvy
savviest	savvy
saw	see
sawfishes	sawfish
sawn	saw
scabbier	scabby
scabbiest	scabby
scagged	scag
scagging	scag
scaldfishes	scaldfish
scaleni	scalenus
scalier	scaly
scaliest	scaly
scanned	scan
scanning	scan
scantier	scanty
scantiest	scanty
scapulae	scapula
scarabaei	scarabaeus
scarier	scary
scariest	scary
scarified	scarify
scarred	scar
scarring	scar
scarves	scarf
scatted	scat
scatting	scat
schatchonim	schatchen
schemata	schema
scherzandi	scherzando
scherzi	scherzo
schmoes	schmo
scholia	scholium
schuln	schul
schutzstaffeln	schutzstaffel
scirrhi	scirrhus
scleromata	scleroma
scleroses	sclerosis
sclerotia	sclerotium
scoleces	scolex
scolices	scolex
scopulae	scopula
scoriae	scoria
scorified	scorify
scotomata	scotoma
scragged	scrag
scraggier	scraggy
scraggiest	scraggy
scragging	scrag
scragglier	scraggly
scraggliest	scraggly
scrammed	scram
scramming	scram
scraper	scraper
scrapped	scrap
scrappier	scrappy
scrappiest	scrappy
scrapping	scrap
scrawnier	scrawny
scrawniest	scrawny
screwier	screwy
screwiest	screwy
scried	scry
scriptoria	scriptorium
scrota	scrotum
scrubbed	scrub
scrubbier	scrubby
scrubbiest	scrubby
scrubbing	scrub
scruffier	scruffy
scruffiest	scruffy
scrummed	scrum
scrumming	scrum
scudded	scud
scudding	scud
scudi	scudo
scummed	scum
scumming	scum
scungier	scungy
scungiest	scungy
scurried	scurry
scurvier	scurvy
scurviest	scurvy
scuta	scutum
scutella	scutellum
scyphi	scyphus
scyphistomae	scyphistoma
scyphozoa	scyphozoan
seamier	seamy
seamiest	seamy
second-rater	second-rater
seconder	seconder
secondi	secondo
secretaries-general	secretary-general
seed	seed
seedier	seedy
seediest	seedy
seemlier	seemly
seemliest	seemly
seen	see
segni	segno
seleucidae	seleucid
selves	self
senores	senor
sensilla	sensillum
sent	send
senti	sent
senussis	senusi
separatrices	separatrix
sephardim	sephardi
septa	septum
septaria	septarium
septennia	septennium
sequelae	sequela
sequestra	sequestrum
sera	serum
seraphim	seraph
serer	serer
sestertia	sestertium
setae	seta
setting	set
sewn	sew
sexier	sexy
sexiest	sexy
sgraffiti	sgraffito
shabbasim	shabbas
shabbatim	shabbat
shabbier	shabby
shabbiest	shabby
shackoes	shacko
shadchanim	shadchan
shadchans	schatchen
shadier	shady
shadiest	shady
shagged	shag
shaggier	shaggy
shaggiest	shaggy
shagging	shag
shaken	shake
shaken hands	shake hands
shakes hands	shake hands
shakier	shaky
shakiest	shaky
shaking hands	shake hands
shakoes	shako
shammed	sham
shamming	sham
shammosim	shammas
shapelier	shapely
shapeliest	shapely
sharecropped	sharecrop
sharecropping	sharecrop
shat	shit
shaven	shave
sheatfishes	sheatfish
sheaves	sheaf
shed	shed
shedding	shed
shellacked	shellac
shellacking	shellac
shellfishes	shellfish
shelves	shelf
shent	shend
shewn	shew
shied	shy
shier	shy
shiest	shy
shiftier	shifty
shiftiest	shifty
shikarred	shikar
shikarring	shikar
shillyshallied	shillyshally
shimmed	shim
shimmied	shimmy
shimming	shim
shinier	shiny
shiniest	shiny
shinleaves	shinleaf
shinned	shin
shinning	shin
shipped	ship
shipping	ship
shirtier	shirty
shirtiest	shirty
shitted	shit
shittim	shittah
shitting	shit
shmoes	shmo
shod	shoe
shoddier	shoddy
shoddiest	shoddy
shofroth	shofar
shone	shine
shook	shake
shook hands	shake hands
shophroth	shophar
shopped	shop
shopping	shop
shot	shoot
shotgunned	shotgun
shotgunning	shotgun
shotted	shot
shotting	shot
shovelled	shovel
shovelling	shovel
showier	showy
showiest	showy
shown	show
shrank	shrink
shredded	shred
shredding	shred
shrewmice	shrewmouse
shrink-wrapped	shrink-wrap
shrink-wrapping	shrink-wrap
shrivelled	shrivel
shrivelling	shrivel
shriven	shrive
shrove	shrive
shrubbier	shrubby
shrubbiest	shrubby
shrugged	shrug
shrugging	shrug
shrunk	shrink
shrunken	shrink
shuln	shul
shunned	shun
shunning	shun
shutting	shut
shyer	shy
shyest	shy
sicked	sic
sicking	sic
sicklier	sickly
sickliest	sickly
siddurim	siddur
sideslipped	sideslip
sideslipping	sideslip
sidestepped	sidestep
sidestepping	sidestep
sightlier	sightly
sightliest	sightly
sightsaw	sightsee
sightseen	sightsee
sigloi	siglos
signaler	signaler
signalled	signal
signalling	signal
signer	signer
signified	signify
signore	signora
signori	signior
signorine	signorina
silicified	silicify
siliquae	siliqua
silkier	silky
silkiest	silky
sillier	silly
silliest	silly
silvae	silva
silverfishes	silverfish
simplified	simplify
simulacra	simulacrum
sincipita	sinciput
sinfonie	sinfonia
singing	sing
single-stepped	single-step
single-stepping	single-step
sinned	sin
sinning	sin
sipped	sip
sipping	sip
sisters-in-law	sister-in-law
sistra	sistrum
sitting	sit
situlae	situla
skellied	skelly
skenned	sken
skenning	sken
sketchier	sketchy
sketchiest	sketchy
sketted	sket
sketting	sket
skewer	skewer
ski'd	ski
skidded	skid
skidding	skid
skimmed	skim
skimming	skim
skimpier	skimpy
skimpiest	skimpy
skin-popped	skin-pop
skin-popping	skin-pop
skinned	skin
skinnier	skinny
skinniest	skinny
skinning	skin
skinny-dipped	skinny-dip
skinny-dipping	skinny-dip
skipped	skip
skipping	skip
skivvied	skivvy
skydove	skydive
slabbed	slab
slabbing	slab
slagged	slag
slagging	slag
slain	slay
slammed	slam
slamming	slam
slaphappier	slaphappy
slaphappiest	slaphappy
slapped	slap
slapping	slap
slatier	slaty
slatiest	slaty
slatted	slat
slatting	slat
slaver	slaver
sleazier	sleazy
sleaziest	sleazy
sledding	sled
sleepier	sleepy
sleepiest	sleepy
slept	sleep
slew	slay
slid	slide
slidden	slide
slier	sly
sliest	sly
slimier	slimy
slimiest	slimy
slimmer	slim
slimmest	slim
slimsier	slimsy
slimsiest	slimsy
slinkier	slinky
slinkiest	slinky
slipped	slip
slippier	slippy
slippiest	slippy
slipping	slip
slitting	slit
slogged	slog
slogging	slog
slopped	slop
sloppier	sloppy
sloppiest	sloppy
slopping	slop
slotted	slot
slotting	slot
slugged	slug
slugging	slug
slummed	slum
slumming	slum
slung	sling
slunk	slink
slurred	slur
slurring	slur
slyer	sly
slyest	sly
smalti	smalto
smarmier	smarmy
smarmiest	smarmy
smellier	smelly
smelliest	smelly
smelt	smell
smit	smite
smitten	smite
smokier	smoky
smokiest	smoky
smote	smite
smugger	smug
smuggest	smug
smutted	smut
smutting	smut
snagged	snag
snagging	snag
snaggleteeth	snaggletooth
snailfishes	snailfish
snakier	snaky
snakiest	snaky
snapped	snap
snappier	snappy
snappiest	snappy
snapping	snap
snatchier	snatchy
snatchiest	snatchy
snazzier	snazzy
snazziest	snazzy
sneaker	sneaker
snedded	sned
snedding	sned
sniffier	sniffy
sniffiest	sniffy
snipefishes	snipefish
snipped	snip
snipping	snip
snivelled	snivel
snivelling	snivel
snogged	snog
snogging	snog
snootier	snooty
snootiest	snooty
snottier	snotty
snottiest	snotty
snowier	snowy
snowiest	snowy
snubbed	snub
snubbing	snub
snuck	sneak
snuffer	snuffer
snuffier	snuffy
snuffiest	snuffy
snugged	snug
snugger	snug
snuggest	snug
snugging	snug
soapier	soapy
soapiest	soapy
sobbed	sob
sobbing	sob
socmen	socman
sodded	sod
sodding	sod
soft-pedalled	soft-pedal
soft-pedalling	soft-pedal
soggier	soggy
soggiest	soggy
sola	solum
solaria	solarium
solatia	solatium
sold	sell
solder	solder
soldi	soldo
solemnified	solemnify
soles	sol
solfeggi	solfeggio
soli	solo
solidi	solidus
solidified	solidify
somata	soma
sons-in-law	son-in-law
sonsier	sonsy
sonsiest	sonsy
soothsaid	soothsay
sootier	sooty
sootiest	sooty
sopped	sop
soppier	soppy
soppiest	soppy
