'hood	noun. (slang) a neighborhood
herbert george wells	noun. prolific English writer best known for his science-fiction novels; he also wrote on contemporary social problems and wrote popular accounts of history and science (1866-1946)
herbert hoover	noun. 31st President of the United States; in 1929 the stock market crashed and the economy collapsed and Hoover was defeated for reelection by Franklin Roosevelt (1874-1964)
herbert kitchener	noun. British field marshal (1850-1916)
herbert marcuse	noun. United States political philosopher (born in Germany) concerned about the dehumanizing effects of capitalism and modern technology (1898-1979)
herbert marshall mcluhan	noun. Canadian writer noted for his analyses of the mass media (1911-1980)
herbert marx	noun. United States comedian; one of four brothers who made motion pictures together (1901-1979)
herbert mclean evans	noun. United States anatomist who identified four pituitary hormones and discovered vitamin E (1882-1971)
herbert spencer	noun. English philosopher and sociologist who applied the theory of natural selection to human societies (1820-1903)
herbicide	noun. a chemical agent that destroys plants or inhibits their growth
herbivore	noun. any animal that feeds chiefly on grass and other plants
herbivorous	adjective. feeding only on plants
herbs mercury	noun. Eurafrican annual naturalized in America as a weed; formerly dried for use as a purgative, diuretic or antisyphilitic
herbs robert	noun. a sticky low herb with small reddish-purple flowers; widespread in the northern hemisphere
herculaneum	noun. ancient city; now destroyed
herculean	adjective. displaying superhuman strength or power | adjective. extremely difficult; requiring the strength of a Hercules
hercules	noun. (classical mythology) a hero noted for his strength; performed 12 immense labors to gain immortality | noun. a large constellation in the northern hemisphere between Lyra and Corona Borealis
hercules'-club	noun. densely spiny ornamental of southeastern United States and West Indies | noun. small deciduous clump-forming tree or shrub of eastern United States
hercules'-clubs	noun. densely spiny ornamental of southeastern United States and West Indies
hercules-club	noun. densely spiny ornamental of southeastern United States and West Indies
herculius	noun. Roman Emperor from 286 until he abdicated in 305; when Diocletian divided the Roman Empire in 286 Maximian became emperor in the west (died in 311)
herd	noun. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans | noun. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra | noun. a crowd especially of ordinary or undistinguished persons or things
herd's grass	noun. grass with long cylindrical spikes grown in northern United States and Europe for hay
herder	noun. German philosopher who advocated intuition over reason (1744-1803) | noun. someone who drives a herd
herdsman	noun. someone who drives a herd
here	noun. the present location; this place | noun. queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealously of the many mortal women Zeus fell in love with; identified with Roman Juno | adjective. being here now
here and now	noun. at this time
here and there	adverb. in or to various places; first this place and then that
hereabout	adverb. in this general vicinity
hereabouts	adverb. in this general vicinity
hereafter	noun. life after death | noun. the time yet to come | adverb. in a subsequent part of this document or statement or matter etc.
hereby	adverb. (formal) by means of this
herediatry spinal ataxia	noun. sclerosis of the posterior and lateral columns of the spinal cord; characterized by muscular weakness and abnormal gait; occurs in children
hereditament	noun. any property (real or personal or mixed) that can be inherited
hereditarianism	noun. the philosophical doctrine that heredity is more important than environment in determining intellectual growth
hereditary	adjective. occurring among members of a family usually by heredity | adjective. inherited or inheritable by established rules (usually legal rules) of descent
hereditary cerebellar ataxia	noun. nervous disorder of late childhood and early adulthood; characterized by ataxic gait and hesitating or explosive speech and nystagmus
hereditary condition	noun. a disease or disorder that is inherited genetically
hereditary disease	noun. a disease or disorder that is inherited genetically
hereditary motor and sensory neuropathy	noun. a form of neuropathy that can begin between childhood and young adulthood; characterized by weakness and atrophy of the muscles of the hands and lower legs; progression is slow and individuals affected can have a normal life span; inheritance is X-linked recessive or X-linked dominant
hereditary pattern	noun. (genetics) attributes acquired via biological heredity from the parents
heredity	noun. the biological process whereby genetic factors are transmitted from one generation to the next | noun. the total of inherited attributes
hereford	noun. hardy English breed of cattle raised extensively in United States
herein	adverb. in this place or thing or document
hereinafter	adverb. in a subsequent part of this document or statement or matter etc.
hereinbefore	adverb. in the preceding part of the current text
hereness	noun. the state of being here in this place
hereof	adverb. of or concerning this
herero	noun. a member of a pastoral Bantu people living in Namibia, Botswana, and Angola | noun. a Banto language spoken by the Herero in Namibia, Botswana, and Angola
heresy	noun. any opinions or doctrines at variance with the official or orthodox position | noun. a belief that rejects the orthodox tenets of a religion
heretic	noun. a person who holds religious beliefs in conflict with the dogma of the Roman Catholic Church | noun. a person who holds unorthodox opinions in any field (not merely religion)
heretical	adjective. characterized by departure from accepted beliefs or standards
hereto	adverb. to this writing or document
heretofore	adverb. used in negative statement to describe a situation that has existed up to this point or up to the present time
hereunder	adverb. in a subsequent part of this document or statement or matter etc. | adverb. under the terms of this agreement
hereupon	adverb. immediately after this
herewith	adverb. (formal) by means of this
heritable	adjective. capable of being inherited
heritage	noun. practices that are handed down from the past by tradition | noun. any attribute or immaterial possession that is inherited from ancestors | noun. that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
heritiera	noun. small genus of timber trees of eastern Asia, Australasia and tropical Africa that form large buttresses
heritiera littoralis	noun. small tree of coastal regions of Old World tropics whose leaves are silvery beneath
heritiera macrophylla	noun. large evergreen tree of India and Burma whose leaves are silvery beneath
heritiera trifoliolata	noun. large tree of Australasia
heritor	noun. a person who is entitled by law or by the terms of a will to inherit the estate of another
herm	noun. a statue consisting of a squared stone pillar with a carved head (usually a bearded Hermes) on top; used in ancient Greece as a boundary marker or signpost
herman	noun. United States jazz musician and bandleader (1913-1987)
herman hollerith	noun. United States inventor who invented a system for recording alphanumeric information on punched cards (1860-1929)
herman melville	noun. United States writer of novels and short stories (1819-1891)
herman northrop frye	noun. Canadian literary critic interested in the use of myth and symbolism (1912-1991)
herman wouk	noun. United States writer (born in 1915)
hermann	noun. German hero; leader at the battle of Teutoburger Wald in AD 9 (circa 18 BC - AD 19)
hermann goering	noun. German politician in Nazi Germany who founded the Gestapo and mobilized Germany for war (1893-1946)
hermann goring	noun. German politician in Nazi Germany who founded the Gestapo and mobilized Germany for war (1893-1946)
hermann hesse	noun. Swiss writer (born in Germany) whose novels and poems express his interests in eastern spiritual values (1877-1962)
hermann joseph muller	noun. United States geneticist who studied the effects of X-rays on genes (1890-1967)
hermann ludwig ferdinand von helmholtz	noun. German physiologist and physicist (1821-1894)
hermann maurice saxe	noun. a French marshal who distinguished himself in the War of the Austrian Succession (1696-1750)
hermann minkowski	noun. German mathematician (born in Russia) who suggested the concept of four-dimensional space-time (1864-1909)
hermann snellen	noun. Dutch ophthalmologist who introduced the Snellen chart to study visual acuity (1834-1908)
hermann von helmholtz	noun. German physiologist and physicist (1821-1894)
hermann wilhelm goring	noun. German politician in Nazi Germany who founded the Gestapo and mobilized Germany for war (1893-1946)
hermannia	noun. genus of African herbs and subshrubs having honey-scented bell-shaped flowers
hermannia verticillata	noun. African shrub having decumbent stems and slender yellow honey-scented flowers either solitary or in pairs
hermaphrodism	noun. congenital condition in which external genitalia and internal sex organs have both male and female characteristics
hermaphrodite	noun. one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made | adjective. of animal or plant; having both male female reproductive organs
hermaphrodite brig	noun. two-masted sailing vessel square-rigged on the foremast and fore-and-aft rigged on the mainmast
hermaphroditic	adjective. of or relating to monoclinous plants | adjective. of animal or plant; having both male female reproductive organs
hermaphroditism	noun. congenital condition in which external genitalia and internal sex organs have both male and female characteristics | noun. showing characteristics of both sexes
hermaphroditus	noun. (Greek mythology) son of Hermes and Aphrodite who merged with the nymph Salmacis to form one body
hermeneutic	adjective. interpretive or explanatory
hermeneutics	noun. the branch of theology that deals with principles of exegesis
hermes	noun. (Greek mythology) messenger and herald of the gods; god of commerce and cunning and invention and theft; identified with Roman Mercury
hermetic	adjective. completely sealed; completely airtight
hermetically	adverb. in an airtight manner
hermissenda	noun. genus of marine sea slugs
hermissenda crassicornis	noun. a kind of sea slug
hermit	noun. one retired from society for religious reasons | noun. one who lives in solitude
hermit crab	noun. small soft-bodied marine crustaceans living in cast-off shells of gastropods
hermit thrush	noun. North American thrush noted for its complex and appealing song
hermitage	noun. the abode of a hermit
hermitic	adjective. characterized by ascetic solitude
hermitical	adjective. characterized by ascetic solitude
hermosillo	noun. a city in northwestern Mexico near the Gulf of California
hernan cortes	noun. Spanish conquistador who defeated the Aztecs and conquered Mexico (1485-1547)
hernan cortez	noun. Spanish conquistador who defeated the Aztecs and conquered Mexico (1485-1547)
hernando cortes	noun. Spanish conquistador who defeated the Aztecs and conquered Mexico (1485-1547)
hernando cortez	noun. Spanish conquistador who defeated the Aztecs and conquered Mexico (1485-1547)
hernaria	noun. low-growing Old World herbs with minute bright green leaves
hernaria glabra	noun. common prostrate Old World herb often used as a ground cover; formerly reputed to cure ruptures
hernia	noun. rupture in smooth muscle tissue through which a bodily structure protrudes
herniated disc	noun. a painful rupture of the fibrocartilage of the disc between spinal vertebrae; occurs most often in the lumbar region
herniation	noun. rupture in smooth muscle tissue through which a bodily structure protrudes
hero	noun. a man distinguished by exceptional courage and nobility and strength | noun. the principal character in a play or movie or novel or poem | noun. someone who fights for a cause
hero of alexandria	noun. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
hero sandwich	noun. a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States
hero worship	noun. admiration for great men (or their memory)
hero worshiper	noun. someone who worships heroes
hero worshipper	noun. someone who worships heroes
hero-worship	verb. love unquestioningly and uncritically or to excess; venerate as an idol
herod	noun. king of Judea who (according to the New Testament) tried to kill Jesus by ordering the death of all children under age two in Bethlehem (73-4 BC)
herod the great	noun. king of Judea who (according to the New Testament) tried to kill Jesus by ordering the death of all children under age two in Bethlehem (73-4 BC)
herodotus	noun. the ancient Greek known as the father of history; his accounts of the wars between the Greeks and Persians are the first known examples of historical writing (485-425 BC)
heroic	noun. a verse form suited to the treatment of heroic or elevated themes; dactylic hexameter or iambic pentameter | adjective. very imposing or impressive; surpassing the ordinary (especially in size or scale) | adjective. relating to or characteristic of heroes of antiquity
heroic couplet	noun. a couplet consisting of two rhymed lines of iambic pentameter and written in an elevated style
heroic meter	noun. a verse form suited to the treatment of heroic or elevated themes; dactylic hexameter or iambic pentameter
heroic poem	noun. a long narrative poem telling of a hero's deeds
heroic poetry	noun. poetry celebrating the deeds of some hero
heroic stanza	noun. a quatrain consisting of two heroic couplets written in an elevated style; the rhyme scheme is abab
heroic tale	noun. a story of an adventure
heroic verse	noun. a verse form suited to the treatment of heroic or elevated themes; dactylic hexameter or iambic pentameter
heroica puebla de zaragoza	noun. a city in south central Mexico (southeast of Mexico City) on the edge of central Mexican plateau
heroical	adjective. having or displaying qualities appropriate for heroes
heroically	adverb. in a heroic manner
heroics	noun. ostentatious or vainglorious or extravagant or melodramatic conduct
heroin	noun. a narcotic that is considered a hard drug; a highly addictive morphine derivative; intravenous injection provides the fastest and most intense rush
heroin addict	noun. someone addicted to heroin
heroin addiction	noun. an addiction to heroin
heroine	noun. the main good female character in a work of fiction | noun. a woman possessing heroic qualities or a woman who has performed heroic deeds
heroism	noun. the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)
heron	noun. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century) | noun. grey or white wading bird with long neck and long legs and (usually) long bill
heron's bill	noun. any of various plants of the genus Erodium
heronry	noun. a breeding ground for herons; a heron rookery
herpangia	noun. a viral infection (usually in children) marked by sore throat and fever and papules in the mouth and throat and headache and abdominal pain; usually subsides in a short time
herpes	noun. viral diseases causing eruptions of the skin or mucous membrane | noun. any of the animal viruses that cause painful blisters on the skin
herpes encephalitis	noun. common form of acute encephalitis caused by herpes simplex 1; usually affects the temporal and frontal lobes
herpes genitalis	noun. an infection caused by herpes simplex virus type 2 (HSV-2) that is usually transmitted by sexual contact; marked by recurrent attacks of painful eruptions on the skin and mucous membranes of the genital area
herpes labialis	noun. caused by herpes simplex virus type 1 (HSV-1)
herpes simplex	noun. an infection caused by the herpes simplex virus; affects the skin and nervous system; produces small temporary (but sometimes painful) blisters on the skin and mucous membranes | noun. a herpes virus that affects the skin and nervous system
herpes simplex 1	noun. a herpes virus that causes oral herpes
herpes simplex 2	noun. a herpes virus that can cause genital herpes
herpes simplex encephalitis	noun. common form of acute encephalitis caused by herpes simplex 1; usually affects the temporal and frontal lobes
herpes simplex virus	noun. a herpes virus that affects the skin and nervous system
herpes varicella zoster	noun. a herpes virus that causes chickenpox and shingles
herpes varicella zoster virus	noun. a herpes virus that causes chickenpox and shingles
herpes virus	noun. any of the animal viruses that cause painful blisters on the skin
herpes zoster	noun. eruptions along a nerve path often accompanied by severe neuralgia | noun. a herpes virus that causes shingles
herpes zoster virus	noun. a herpes virus that causes shingles
herpestes	noun. mongooses
herpestes ichneumon	noun. northern African mongoose; in ancient times thought to devour crocodile eggs
herpestes nyula	noun. keen-sighted viverrine of southern Asia about the size of a ferret; often domesticated
herpetologist	noun. a zoologist who studies reptiles and amphibians
herpetology	noun. the branch of zoology concerned with reptiles and amphibians
herr	noun. a German man; used before the name as a title equivalent to Mr in English | noun. a German courtesy title or form of address for a man
herrenvolk	noun. a race that considers itself superior to all others and fitted to rule the others
herrerasaur	noun. a kind of theropod dinosaur found in Argentina
herrerasaurus	noun. a kind of theropod dinosaur found in Argentina
herrick	noun. English lyric poet (1591-1674)
herring	noun. valuable flesh of fatty fish from shallow waters of northern Atlantic or Pacific; usually salted or pickled | noun. commercially important food fish of northern waters of both Atlantic and Pacific
herring gull	noun. large gull of the northern hemisphere
herring hog	noun. the common porpoise of the northern Atlantic and Pacific
herring salad	noun. based on pickled herring
herringbone	noun. a twilled fabric with a herringbone pattern | noun. a pattern of columns of short parallel lines with all the lines in one column sloping one way and lines in adjacent columns sloping the other way; it is used in weaving, masonry, parquetry, embroidery
herringbone pattern	noun. a pattern of columns of short parallel lines with all the lines in one column sloping one way and lines in adjacent columns sloping the other way; it is used in weaving, masonry, parquetry, embroidery
herschel	noun. English astronomer (son of William Herschel) who extended the catalogue of stars to the southern hemisphere and did pioneering work in photography (1792-1871) | noun. English astronomer (born in Germany) who discovered infrared light and who catalogued the stars and discovered the planet Uranus (1738-1822)
herschelian telescope	noun. a reflecting telescope with the mirror slightly tilted to throw the image to the side where it can be viewed
hershey	noun. United States confectioner and philanthropist who created the model industrial town of Hershey, Pennsylvania; founded an industrial school for orphan boys (1857-1945) | noun. an industrial town to the east of Harrisburg
hershey bar	noun. a bar of milk chocolate made by the Hershey company
hertfordshire	noun. a county in southern England
hertha	noun. the Teutonic goddess of fertility; later identified with Norse Njord
hertz	noun. the unit of frequency; one hertz has a periodic interval of one second (named for Heinrich Rudolph Hertz) | noun. German physicist who was the first to produce electromagnetic waves artificially (1857-1894) | noun. German physicist who with James Franck proved the existence of the stationary energy states postulated by Bohr (1887-1975)
hertzian	adjective. of or relating to the physicist Heinrich Hertz or his work
hertzian wave	noun. a former name for a radio wave; an electromagnetic wave of radio frequency generated by oscillations in an electric circuit
herzberg	noun. Canadian physicist (born in Germany) noted for contributions to understanding the structure of molecules (born in 1904)
heshvan	noun. the second month of the civil year; the eighth month of the ecclesiastical year in the Jewish calendar (in October and November)
hesiod	noun. Greek poet whose existing works describe rural life and the genealogies of the gods and the beginning of the world (eighth century BC)
hesitance	noun. a feeling of diffidence and indecision about doing something
hesitancy	noun. a feeling of diffidence and indecision about doing something | noun. a certain degree of unwillingness
hesitant	adjective. lacking decisiveness of character; unable to act or decide quickly or firmly
hesitantly	adverb. with hesitation; in a hesitant manner
hesitate	verb. pause or hold back in uncertainty or unwillingness | verb. interrupt temporarily an activity before continuing
hesitater	noun. one who hesitates (usually out of fear)
hesitating	adjective. lacking decisiveness of character; unable to act or decide quickly or firmly
hesitatingly	adverb. with hesitation; in a hesitant manner
hesitation	noun. indecision in speech or action | noun. a certain degree of unwillingness | noun. the act of pausing uncertainly
hesitator	noun. one who hesitates (usually out of fear)
hesperian	adjective. denoting or characteristic of countries of Europe and the western hemisphere
hesperides	noun. (Greek mythology) group of 3 to 7 nymphs who guarded the golden apples that Gaea gave as a wedding gift to Hera
hesperiphona	noun. evening grosbeak
hesperiphona vespertina	noun. North American grosbeak
hesperis	noun. biennial or perennial erect herbs having nocturnally fragrant flowers
hesperis matronalis	noun. long cultivated herb having flowers whose scent is more pronounced in the evening; naturalized throughout Europe to Siberia and into North America
hesperus	noun. a planet (usually Venus) seen at sunset in the western sky
hess	noun. English pianist (1890-1965) | noun. Swiss physiologist noted for studies of the brain (1881-1973) | noun. Nazi leader who in 1941 flew a solo flight to Scotland in an apparent attempt to negotiate a peace treaty with Great Britain but was imprisoned for life (1894-1987)
hesse	noun. Swiss writer (born in Germany) whose novels and poems express his interests in eastern spiritual values (1877-1962)
hessian	noun. (19th century) a man's high tasseled boot
hessian boot	noun. (19th century) a man's high tasseled boot
hessian fly	noun. small fly whose larvae damage wheat and other grains
hessonite	noun. a garnet ranging in color from yellow to brown
hestia	noun. (Greek mythology) the goddess of the hearth and its fire in ancient mythology; identified with Roman Vesta
het	adjective. made warm or hot (`het' is a dialectal variant of `heated')
het up	adjective. made warm or hot (`het' is a dialectal variant of `heated') | adjective. worked up emotionally by anger or excitement
heteranthera	noun. mud plantains
heteranthera dubia	noun. grassy-leaved North American aquatic plant with yellow star-shaped blossoms
heterobasidiomycetes	noun. category used in some classification systems for various basidiomycetous fungi including rusts and smuts
heterocephalus	noun. sand rats
heterocercal	adjective. possessing a tail with the upper lobe larger than the lower and with the vertebral column prolonged into the upper lobe
heterocercal fin	noun. a tail fin with unequal lobes in which the vertebral column turns upward into the larger lobe as in sharks
heterocycle	noun. a compound containing a heterocyclic ring | noun. a ring of atoms of more than one kind; especially a ring of carbon atoms containing at least one atom that is not carbon
heterocyclic	noun. a compound containing a heterocyclic ring | adjective. containing a closed ring of atoms of which at least one is not a carbon atom
heterocyclic compound	noun. a compound containing a heterocyclic ring
heterocyclic ring	noun. a ring of atoms of more than one kind; especially a ring of carbon atoms containing at least one atom that is not carbon
heterodactyl	adjective. (of bird feet) having the first and second toes directed backward the third and fourth forward
heterodactyl foot	noun. a bird's foot having the first and second toes of each foot directed backward and the third and fourth forward
heterodon	noun. a genus of small colubrid snakes containing the North American hognose snakes
heterodox	adjective. characterized by departure from accepted beliefs or standards
heterodoxy	noun. any opinions or doctrines at variance with the official or orthodox position | noun. the quality of being unorthodox
heterodyne	verb. combine (a radio frequency wave) with a locally generated wave of a different frequency so as to produce a new frequency equal to the sum or the difference between the two | adjective. of or relating to the beat produced by heterodyning two oscillations
heterodyne oscillator	noun. an oscillator whose output heterodynes with the incoming radio signal to produce sum and difference tones
heterodyne receiver	noun. a radio receiver that combines a locally generated frequency with the carrier frequency to produce a supersonic signal that is demodulated and amplified
heteroecious	adjective. of parasites; passing through different stages of the life cycle on different host species
heterogeneity	noun. the quality of being diverse and not comparable in kind
heterogeneous	adjective. consisting of elements that are not of the same kind or nature | adjective. originating outside the body
heterogeneousness	noun. the quality of being diverse and not comparable in kind
heterogenesis	noun. the alternation of two or more different forms in the life cycle of a plant or animal
heterogenous	adjective. consisting of elements that are not of the same kind or nature | adjective. originating outside the body
heterograft	noun. tissue from an animal of one species used as a temporary graft (as in cases of severe burns) on an individual of another species
heteroicous	adjective. having several forms of gametoecia on the same plant
heterokontae	noun. all the yellow-green algae having flagella of unequal length
heterokontophyta	noun. algae having chlorophyll a and usually c, and flagella of unequal lengths; terminology supersedes Chrysophyta in some classifications
heterologic	adjective. not corresponding in structure or evolutionary origin
heterological	adjective. not corresponding in structure or evolutionary origin
heterologous	adjective. not corresponding in structure or evolutionary origin | adjective. derived from organisms of a different but related species
heterology	noun. (biology) the lack of correspondence of apparently similar body parts
heteromeles	noun. one species: toyon; in some classifications included in genus Photinia
heteromeles arbutifolia	noun. ornamental evergreen treelike shrub of the Pacific coast of the United States having large white flowers and red berrylike fruits; often placed in genus Photinia
heterometabolic	adjective. (of an insect) undergoing incomplete metamorphosis in which the nymph is essentially like the adult and there is no pupal stage
heterometabolism	noun. development of insects with incomplete metamorphosis in which no pupal stage precedes maturity
heterometabolous	adjective. (of an insect) undergoing incomplete metamorphosis in which the nymph is essentially like the adult and there is no pupal stage
heterometaboly	noun. development of insects with incomplete metamorphosis in which no pupal stage precedes maturity
heteromyidae	noun. small New World burrowing mouselike rodents with fur-lined cheek pouches and hind limbs and tail adapted to leaping; adapted to desert conditions: pocket mice; kangaroo mice; kangaroo rats
heteronym	noun. two words are heteronyms if they are spelled the same way but differ in pronunciation
heterophil antibody	noun. an antibody found in the blood of someone suffering from infectious mononucleosis
heterophil test	noun. a blood test to detect heterophil antibodies that agglutinate sheep red blood cells; positive result indicates infectious mononucleosis
heterophile antibody	noun. an antibody found in the blood of someone suffering from infectious mononucleosis
heteroploid	noun. (genetics) an organism or cell having a chromosome number that is not an even multiple of the haploid chromosome number for that species
heteroploidy	noun. the condition of being heteroploid
heteroptera	noun. true bugs
heteropterous insect	noun. true bugs: insects whose forewings are membranous but have leathery tips
heteroscelus	noun. tattlers
heteroscelus incanus	noun. tattler of Pacific coastal regions
heterosexism	noun. discrimination in favor of heterosexual and against homosexual people
heterosexual	noun. a person having a sexual orientation to persons of the opposite sex | adjective. sexually attracted to members of the opposite sex
heterosexual person	noun. a person having a sexual orientation to persons of the opposite sex
heterosexualism	noun. a sexual attraction to (or sexual relations with) persons of the opposite sex
heterosexuality	noun. a sexual attraction to (or sexual relations with) persons of the opposite sex
heterosis	noun. (genetics) the tendency of a crossbred organism to have qualities superior to those of either parent
heterosomata	noun. flatfishes: halibut; sole; flounder; plaice; turbot; tonguefishes
heterosporous	adjective. characterized by heterospory
heterospory	noun. the development of both microspores and megaspores
heterostracan	noun. extinct jawless fish with the anterior part of the body covered with bony plates; of the Silurian and Devonian
heterostraci	noun. extinct group of armored jawless fishes or fish-like vertebrate; taxonomy is not clear
heterotaxy	noun. any abnormal position of the organs of the body
heterotheca	noun. genus of yellow-flowered North American herbs
heterotheca villosa	noun. hairy perennial with yellow flower heads in branched clusters; found almost everywhere in dry places from Canada to west central and western United States; sometimes placed in genus Chrysopsis
heterothermic	adjective. of animals except birds and mammals; having body temperature that varies with the environment
heterotrichales	noun. yellow-green algae with simple or branching filaments; comprising the single family Tribonemaceae
heterotroph	noun. an organism that depends on complex organic substances for nutrition
heterotrophic	adjective. requiring organic compounds of carbon and nitrogen for nourishment
heterozygosity	noun. the state of being heterozygous; having two different alleles of the same gene
heterozygote	noun. (genetics) an organism having two different alleles of a particular gene and so giving rise to varying offspring
heterozygous	adjective. having dissimilar alleles at corresponding chromosomal loci
heth	noun. the 8th letter of the Hebrew alphabet
heuchera	noun. genus of North American herbs with basal cordate or orbicular leaves and small panicled flowers
heuchera americana	noun. plant with basal leaves mottled with white and flowers in lax panicles on erect stems
heuchera cylindrica	noun. plant with leathery heart-shaped leaf blades clustered at base of long stalks with greenish-white flowers clustered along the upper part; western North America
heuchera sanguinea	noun. perennial plant of the western United States having bright red flowers in feathery spikes; used as an ornamental
heulandite	noun. a group of minerals of the zeolite family consisting of a hydrous aluminum silicate of sodium and calcium
heuristic	noun. a commonsense rule (or set of rules) intended to increase the probability of solving some problem | adjective. of or relating to or using a general formulation that serves to guide investigation
heuristic program	noun. a commonsense rule (or set of rules) intended to increase the probability of solving some problem
heuristic rule	noun. a commonsense rule (or set of rules) intended to increase the probability of solving some problem
hevea	noun. small genus of South American trees yielding latex
hevea brasiliensis	noun. deciduous tree of the Amazon and Orinoco Rivers having leathery leaves and fragrant yellow-white flowers; it yields a milky juice that is the chief source of commercial rubber
hevesy	noun. Hungarian chemist who studied radioisotopes and was one of the discoverers of the element hafnium (1885-1966)
hew	verb. make or shape as with an axe | verb. strike with an axe; cut down, strike
hew out	verb. make or shape as with an axe
hewer	noun. a person who hews
hewn	adjective. cut or shaped with hard blows of a heavy cutting instrument like an ax or chisel
hex	noun. an evil spell | verb. cast a spell over someone or something; put a hex on someone or something | adjective. of or pertaining to a number system having 16 as its base
hex nut	noun. a nut with a hexagonal shape
hexachlorophene	noun. antibacterial substance that is a water-soluble powder used in antiseptic soaps and toothpaste
hexacosanoic acid	noun. a white solid fatty acid found in waxes (such as beeswax)
hexad	noun. the cardinal number that is the sum of five and one
hexadecanoic acid	noun. a saturated fatty acid that is the major fat in meat and dairy products
hexadecimal	adjective. of or pertaining to a number system having 16 as its base
hexadecimal digit	noun. a digit from 0 to 15 in hexadecimal notation
hexadecimal notation	noun. any notation that uses 16 different characters
hexadecimal number system	noun. a positional system of numeration that uses hexadecimal digits and a radix of sixteen
hexadecimal system	noun. a positional system of numeration that uses hexadecimal digits and a radix of sixteen
hexadrol	noun. a corticosteroid drug (trade names Decadron or Dexamethasone Intensol or Dexone or Hexadrol or Oradexon) used to treat allergies or inflammation
hexagon	noun. a six-sided polygon
hexagonal	adjective. having six sides or divided into hexagons
hexagram	noun. a regular polygon formed by extending each of the sides of a regular hexagon to form two equilateral triangles
hexagrammidae	noun. greenlings
hexagrammos	noun. type genus of the Hexagrammidae
hexagrammos decagrammus	noun. common food and sport fish of western coast of North America
hexahedron	noun. any polyhedron having six plane faces
hexalectris	noun. a monocotyledonous genus of the family Orchidaceae
hexalectris spicata	noun. orchid with yellowish-brown flowers with dark veins; southeastern Arizona to the eastern United States
hexalectris warnockii	noun. orchid with slender nearly leafless reddish-brown stems with loose racemes of reddish-brown flowers; of open brushy woods of southeastern Arizona and central Texas
hexameter	noun. a verse line having six metrical feet
hexamita	noun. flagellates free-living or parasitic in intestines of birds
hexanchidae	noun. primitive sharks
hexanchus	noun. a genus of Hexanchidae
hexanchus griseus	noun. large primitive shark widely distributed in warm seas
hexane	noun. a colorless flammable liquid alkane derived from petroleum and used as a solvent
hexanedioic acid	noun. a carboxylic acid used in the manufacture of nylon
hexangular	adjective. having six sides or divided into hexagons
hexanoic acid	noun. a fatty acid found in animal oils and fats or made synthetically; smells like goats
hexapod	noun. an animal having six feet
hexapoda	noun. insects; about five-sixths of all known animal species
hexed	adjective. (usually used colloquially) causing or accompanied by misfortune
hexenbesen	noun. an abnormal tufted growth of small branches on a tree or shrub caused by fungi or insects or other physiological disturbance
hexestrol	noun. estrogen compound used to treat menstrual irregularities and menopausal symptoms and to prevent pregnancy
hexose	noun. a monosaccharide that contains six carbon atoms per molecule
heyday	noun. the period of greatest prosperity or productivity
heyerdahl	noun. Norwegian anthropologist noted for his studies of cultural diffusion (1914-2002)
heyrovsky	noun. Czechoslovakian chemist who developed polarography (1890-1967)
heyse	noun. German writer (1830-1914)
heyward	noun. United States writer (1885-1940)
hezbollah	noun. a Shiite terrorist organization with strong ties to Iran; seeks to create an Iranian fundamentalist Islamic state in Lebanon; car bombs are the signature weapon
hezekiah	noun. (Old Testament) king of Judah who abolished idolatry (715-687 BC)
hf	noun. a grey tetravalent metallic element that resembles zirconium chemically and is found in zirconium minerals; used in filaments for its ready emission of electrons | noun. 3 to 30 megahertz
hfc	noun. a fluorocarbon emitted as a by-product of industrial manufacturing
hg	noun. a heavy silvery toxic univalent and bivalent metallic element; the only metal that is liquid at ordinary temperatures | noun. 100 grams
hhs	noun. the United States federal department that administers all federal programs dealing with health and welfare; created in 1979
hi	noun. an expression of greeting | noun. a state in the United States in the central Pacific on the Hawaiian Islands
hi-fi	noun. equipment for the reproduction of sound with high fidelity | noun. the reproduction of sound with little or no distortion | adjective. characterized by minimal distortion in sound reproduction
hi-tech	adjective. resembling or making use of highly advanced technology or devices
hiatal hernia	noun. hernia resulting from the protrusion of part of the stomach through the diaphragm
hiatus	noun. an interruption in the intensity or amount of something | noun. a missing piece (as a gap in a manuscript) | noun. a natural opening or perforation through a bone or a membranous structure
hiatus hernia	noun. hernia resulting from the protrusion of part of the stomach through the diaphragm
hiawatha	noun. a Native American chieftain who argued for peace with the European settlers (16th century)
hiba arborvitae	noun. slow-growing medium-large Japanese evergreen used as an ornamental
hibachi	noun. a portable brazier that burns charcoal and has a grill for cooking | verb. cook over a hibachi grill
